"Year","Month","Rank","Title","Link","Votes","Total.voters","Notes"
2024,2,"1","Welcome to HarmonyCon [PMV] (feat. @princewhateverer )","https://www.youtube.com/watch?v=yhc2DH7wnu8",20,41,"Tie broken by Random.org"
2024,2,"2","Twilight wants breakfast.","https://www.youtube.com/watch?v=Sj0wXUs0i9U",20,41,"Tie broken by Random.org"
2024,2,"3","Football?","https://www.youtube.com/watch?v=tHQCvcyUF2o",20,41,"Tie broken by Random.org"
2024,2,"4","PrinceWhateverer - Spare Me! [MLP Animatic]","https://www.youtube.com/watch?v=vsPsbgFlNwk",17,41,""
2024,2,"5","[PMV] 𝑭𝒍𝒚 𝑨𝒘𝒂𝒚","https://www.youtube.com/watch?v=5MqBa9KaSyk",16,41,"Tie broken by Random.org"
2024,2,"6","Starlight Glimmer Fans AGAIN","https://www.youtube.com/watch?v=3Dad-p_UnO8",16,41,"Tie broken by Random.org"
2024,2,"7","Expert Trackers","https://www.youtube.com/watch?v=BsuF-oS3zR0",16,41,"Tie broken by Random.org"
2024,2,"8","[3-2] Ace Attorney: Elements of Justice ~ Skeletons in the Closet","https://www.youtube.com/watch?v=Fy0ZZdsvjqk",15,41,""
2024,2,"9","What Is Hearts and Hooves Day?","https://www.youtube.com/watch?v=SuuFGcJfTkk",14,41,""
2024,2,"10","小马宝莉/小马同人(预告):辐射小马国·英雄崛起","https://www.youtube.com/watch?v=Io3uOSDcX38",12,41,"Bilibili: https://www.bilibili.com/video/BV1tA4m1L7HP/ Cosmia's Stash title: Fallout Equestria: The Rise of Heroes [by Dream Studio]"
2024,2,"HM","The Last Swamp Fever - MLP G5 Infection Animation","https://youtube.com/watch?v=VuWo4hp20wM",11,41,"HM"
2024,2,"HM","Happy Valentine's Day! Meet the Twilights","https://youtube.com/watch?v=_Yw0hQdFOUE",10,41,"HM"
2024,2,"HM","【小马宝莉×高堡奇人】星升之屋-House of rising star[PIHC系列宣传曲]","https://www.bilibili.com/video/BV1qF4m1777K/",7,41,"HM. Cosmia's Stash mirror: [The Pony in High Castle] House of rising stars [by 青扬桦钙]  https://www.youtube.com/watch?v=P5M17JX7Rlo"
2024,2,"HM","Bunny Party (Mlp Animation)","https://www.youtube.com/watch?v=2knzcNQzzd8",6,41,"HM"
